"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795821639885836403","Wed May 29 14:16:58 +0000 2024","433","Hari ini 1 5 jam ngobrol sama Pak @ChatibBasri dari mulai CAD UKT Cilean Paradox The Elephant Curve Tepera sampai Beacukai Jadi salah satu podcast terpanjang di Malaka Project ditunggu ya kita garap seoptimal mungkin Btw daku gugupnya masih sampe sekarang https://t.co/F5n6SW1Rfq","1795821639885836403","https://pbs.twimg.com/media/GOwKQl1boAACUz2.jpg","","in","","10","30","42","https://x.com/irwndfrry/status/1795821639885836403","251088685","irwndfrry"
"1751234370030158320","Sat Jan 27 13:23:04 +0000 2024","137","Meeting dadakan malam2 antara IAIF dengan perwakilan dari HMIF terkait deadline pembayaran UKT hari Selasa besok. Semoga ada yang bisa dibantu. https://t.co/A559fF8BQU","1751234370030158320","https://pbs.twimg.com/media/GE2ghUOboAArlPJ.jpg","","in","Jakarta Capital Region","4","2","8","https://x.com/ibamarief/status/1751234370030158320","143422219","ibamarief"
"1691366411292332032","Tue Aug 15 08:29:11 +0000 2023","11","jauh jauh ke pwt cuma sehari gara gara si bodoh ini lupa belum bayar ukt sm krsan https://t.co/gKMkIziNth","1691366411292332032","https://pbs.twimg.com/media/F3jwxqAbgAER8IW.jpg","","in","","2","6","0","https://x.com/vesicaafellea/status/1691366411292332032","1528313011051515905","vesicaafellea"
"1801221918231822528","Thu Jun 13 11:55:45 +0000 2024","755","LAHHH KIRAIN MASALAH KJMU KEMARIN UDAH KELAR TERNYATA BELUM???!!! Sekarang malah pencairannya yg bermasalah? Dananya belum cair sampe skrng padahal mahasiswanya udah mo mendekati untuk bayar UKT? Gimana nih @dprddkijakarta @DKIJakarta??? https://t.co/4EHDlJ15ew","1801221918231822528","https://pbs.twimg.com/media/GP85ySnaUAAgobt.jpg","","in","Kutub Selatan","34","40","255","https://x.com/timpenguinnas/status/1801221918231822528","1457753196269473793","timpenguinnas"
"1652176019057688576","Sat Apr 29 05:00:33 +0000 2023","520","ini aja kali ya kiri 2017 awal2 belajar desain jadi mahasiswa kupu2 untuk ngefreelance bantu bayar2 ukt. kanan 2023 awal tahun ini bisa kontrak rumah dari 2022 sama istri. buat studio sendiri buat WFH partime jualan aset desain freelance. https://t.co/ERmbtvVH9p","1652176019057688576","https://pbs.twimg.com/media/Fu209gHagAErh1S.jpg","","in","Kyoto-shi Nakagyo, Kyoto","7","22","57","https://x.com/aanragilj/status/1652176019057688576","370561086","aanragilj"
"1799685484060307916","Sun Jun 09 06:10:30 +0000 2024","20871","1) UKT dimahalin 2) Bikin propaganda kuliah gak penting 3) Masyarakat percaya dan jadi bego 4) Tambah miskin karena cari kerja butuh kuliah 5) Kasih bansos pas masa kampanye 6) Tambang suara pas pemilu dan pilkada.","1799685484060307916","","","in","Michuhol-gu, Republic of Korea","117","177","7063","https://x.com/ardisatriawan/status/1799685484060307916","170542374","ardisatriawan"
"1799453784072212915","Sat Jun 08 14:49:49 +0000 2024","420","UKT tapera nepotisme ruu penyiaran dll terus sekarang wacana kominfo blokir twitter. Oke cukup sampe sini saja berita2 buruknya https://t.co/69geL3xKX2","1799453784072212915","https://pbs.twimg.com/media/GPjxrkpaoAA3mdS.jpg","","in","Indonesia","4","5","108","https://x.com/akrmidori/status/1799453784072212915","1279672541645160453","akrmidori"
"1798333687148548521","Wed Jun 05 12:38:57 +0000 2024","2170","Mendadak kasian sama pekerja padahal sebelumnya pro UKT mahal dan pro pungutan Tapera. Udah bener anjing zionist mah di kontol-kontolin aja. https://t.co/5hZtxTb0kT","1798333687148548521","https://pbs.twimg.com/media/GPT28_IaoAAuh7Q.jpg","","in","","10","17","726","https://x.com/WidasSatyo/status/1798333687148548521","472857347","WidasSatyo"
"1758340408311177707","Fri Feb 16 03:59:56 +0000 2024","7","Cashback program UKT mahal. Gud marketing https://t.co/RJJGRpOUwc","1758340408311177707","https://pbs.twimg.com/media/GGbhRvwbkAA4v22.jpg","","in","Jakarta","1","1","1","https://x.com/lucaxyzz/status/1758340408311177707","255809652","lucaxyzz"
"1801068293777957027","Thu Jun 13 01:45:18 +0000 2024","1077","Selamat untuk ITB snbt snbp UKT kalian normal kembali yeyy!! https://t.co/RXLPdH6WX6","1801068293777957027","https://pbs.twimg.com/media/GP6uEKaa8AEfrcL.jpg","","in","","77","21","44","https://x.com/misyaelsimon/status/1801068293777957027","3854319866","misyaelsimon"
"1790726667679453650","Wed May 15 12:51:22 +0000 2024","707","Grup magang tbtb heboh gara2 ukt ppds ui naik gue ppds kapan kalo gini . https://t.co/keJ9zvDwKJ","1790726667679453650","https://pbs.twimg.com/media/GNnwaK3aMAA7PYh.jpg","","in","🇮🇩","109","41","44","https://x.com/aldiposetissuee/status/1790726667679453650","1279022314584039424","aldiposetissuee"
"1714527488234430868","Wed Oct 18 06:23:02 +0000 2023","1","byar ukt cm buat kuliah online https://t.co/iNM0TOySps","1714527488234430868","https://pbs.twimg.com/media/F8s5qb6aMAApPub.jpg","","in","Jawa Utara","0","3","0","https://x.com/katsubossy/status/1714527488234430868","1045575409151008768","katsubossy"
"1752330826543693987","Tue Jan 30 14:00:00 +0000 2024","662","tagihan ukt","1752330826543693987","","","in","Lauriergracht No. 37","16","16","183","https://x.com/kadyasandya/status/1752330826543693987","1431089875982290948","kadyasandya"
"1795867508425240586","Wed May 29 17:19:14 +0000 2024","424"," UKT naik diam seribu bahasa Bahkan setelah sefrontal ini selama 2 tahun sudah ngasih adsense yang lu punya buat nyekolahin orang sampai bikin beasiswa sendiri pun karena masalah UKT ini komen kayak gini pun masih ada wkwk di internet kt gak akan menyenangkan semua orang https://t.co/cOUFZy4nol","1795867508425240586","https://pbs.twimg.com/media/GOwz-dhaMAA-b7U.jpg","","in","","4","18","35","https://x.com/irwndfrry/status/1795867508425240586","251088685","irwndfrry"
"1801223919606874377","Thu Jun 13 12:03:42 +0000 2024","17602","UKT kuliah naik oke gw kritik potongan Tapera gw masih kritik tapi soal ini gw gak bisa cuma kritik. Demi Tuhan akan gw jatuhkan rezim ini dengan tangan gw sendiri. BAJINGAAAANNN!!!!","1801223919606874377","","","in","Six Feet Under the Stars","603","114","6456","https://x.com/jamsembilansore/status/1801223919606874377","1021903928340836353","jamsembilansore"
"1795966337698656456","Wed May 29 23:51:57 +0000 2024","20","Lupakan tentang UKT yang naik dan RUU penyiaran. Ini lebih penting!!! Buah mana yang lebih baik? https://t.co/6Ow8zsnWDp","1795966337698656456","https://pbs.twimg.com/media/GOyN3cragAAwpIe.jpg","","in","Los Angeles, CA","1","4","8","https://x.com/heylutfi_/status/1795966337698656456","1487123451328745473","heylutfi_"
"1800344089050968373","Tue Jun 11 01:47:34 +0000 2024","51","Duh jadi khawatir kalo programnya dilanjutkan seperti PPN 12% Tapera UKT naik subsidi energi dikurangi Lanjut IKN khawatir hutang makin menggunung https://t.co/X6MYSGjk9t","1800344089050968373","https://pbs.twimg.com/amplify_video_thumb/1800344020952252416/img/BiiJOVjCyQMrT27g.jpg","","in","Kota Makassar, Sulawesi Selata","1","4","11","https://x.com/AbdulRachimmks/status/1800344089050968373","1641093904236969992","AbdulRachimmks"
"1799771305853820984","Sun Jun 09 11:51:32 +0000 2024","22036","UKT naik: ditunda RUU penyiaran: ditunda Tapera: ditunda. Setelah viral mereka semua ditunda. Tapi hati-hati nanti tiba-tiba disahkan tengah malam harus kita kawal terus.","1799771305853820984","","","in","Michuhol-gu, Republic of Korea","129","110","6155","https://x.com/ardisatriawan/status/1799771305853820984","170542374","ardisatriawan"
"1797608320762831141","Mon Jun 03 12:36:36 +0000 2024","228","Ngomongin Beacukai UKT dan BP Tapera secara lengkap dan mendalam dengan pak @ChatibBasri Pak @ChatibBasri jago bet euy Tonton selengkapnya https://t.co/7XzOK6RepP https://t.co/hQPvwtitJ4","1797608320762831141","https://pbs.twimg.com/media/GPJjPN9aYAAdywk.jpg","","in","","6","8","40","https://x.com/irwndfrry/status/1797608320762831141","251088685","irwndfrry"
"1686654284019220480","Wed Aug 02 08:24:52 +0000 2023","2199","emang klo ga bayar ukt lgsg mati kh","1686654284019220480","","","in","Lauriergracht No. 37","64","71","328","https://x.com/kadyasandya/status/1686654284019220480","1431089875982290948","kadyasandya"
"1627883336445333506","Tue Feb 21 09:04:49 +0000 2023","1240","@sesexxviii anak ukt tertinggi yg ngga dapet keringanan karena anak PNS padahal ortu PNS cuma guru dengan tanggungan banyak :3","1627957504864043009","","sesexxviii","in","Ssangmundong","80","55","135","https://x.com/OHMYV3NUS/status/1627957504864043009","1102064503749959681","OHMYV3NUS"
"1794194821047079366","Sat May 25 02:32:34 +0000 2024","9718","yang ga sopan mah first date langsung suruh bayarin UKT 1 semester","1794194821047079366","","","in","","126","41","1419","https://x.com/vesicaafellea/status/1794194821047079366","1528313011051515905","vesicaafellea"
"1733036755627225089","Fri Dec 08 08:12:15 +0000 2023","4216","knp ya kucing gw kalo tidur kaya yang paling cape sedunia seakan dia yang bayarin kos &amp; ukt gw","1733036755627225089","","","in","","41","10","525","https://x.com/vesicaafellea/status/1733036755627225089","1528313011051515905","vesicaafellea"
"1791314800297042297","Fri May 17 03:48:24 +0000 2024","3690","Mahasiswa UNS Ngadu ke Komisi X DPR soal Kenaikan UKT: Hari Ini Diperdagangkan Semua https://t.co/4qdbo3mOYQ","1791314800297042297","https://pbs.twimg.com/ext_tw_video_thumb/1791314735922876417/pu/img/gFufAqikmmyziQgn.jpg","","in","Jakarta Capital Region","221","426","979","https://x.com/Mdy_Asmara1701/status/1791314800297042297","1334853481019056128","Mdy_Asmara1701"
"1752525869107818681","Wed Jan 31 02:55:02 +0000 2024","2035","Concern gue soal UKT kuliah ini udah bertahun-tahun karena tahu ini bakal jadi bom waktu yang meledak Di sisi lain seperti biasa malunya republik ini udah hilang tata kelola good governance mentok jadi nama seminar","1752525869107818681","","","in","","18","37","464","https://x.com/irwndfrry/status/1752525869107818681","251088685","irwndfrry"
"1744655470332363059","Tue Jan 09 09:40:52 +0000 2024","7806","izin ikutan Min . Gue bakal tanggung UKT 2 orang mahasiswa yang mengalami kesulitan memenuhi pembayaran semester ini Tuliskan bentuk kebebasan berpendapat paling ideal menurut lu dalam satu tweet jawabannya ditunggu sampai pukul 20.00 WIB selamat mencoba","1744655470332363059","","","in","","230","1042","2120","https://x.com/irwndfrry/status/1744655470332363059","251088685","irwndfrry"
"1801315852631085398","Thu Jun 13 18:09:00 +0000 2024","10","foto sm ukt kita https://t.co/CulaYpsiHF","1801315852631085398","https://pbs.twimg.com/media/GP-PNv2bsAAjEVy.jpg","","in","","0","3","0","https://x.com/cryin0nmypillow/status/1801315852631085398","1177008766518083584","cryin0nmypillow"
"1791009382316331042","Thu May 16 07:34:46 +0000 2024","32618","Gibran mania ga usah pada sok ikut ngeluh UKT mahal enjoy aja sambil joget.","1791009382316331042","","","in","Jawa","546","289","7592","https://x.com/anonjawa/status/1791009382316331042","1689095684895772672","anonjawa"
"1753251756350554503","Fri Feb 02 02:59:27 +0000 2024","373","abis bayar ukt tuh suka ngerasa jd gaenak ke ortu ya ampun i hope i can have a lot of money so i can repay my parents","1753251756350554503","","","in","","14","2","79","https://x.com/weaupon/status/1753251756350554503","1399238850614988811","weaupon"
"1681186645532643328","Tue Jul 18 06:18:25 +0000 2023","19","maba beneran vs camaba wes bayar ukt tp almet e ga diambil https://t.co/baS91uqqta","1681186645532643328","https://pbs.twimg.com/media/F1TGVknaYAIlOTh.jpg","","in","19","0","0","0","https://x.com/exhautsed/status/1681186645532643328","1047751271262773249","exhautsed"
"1801148517345546518","Thu Jun 13 07:04:04 +0000 2024","458","KONSEP KAMPUS MODE BANGUNAN ZAMAN OLD Seorang mahasiswi di Unsoed membagikan fasilitas minim yang didapat dengan biaya UKT yg terbilang mahal yakni 17 juta rupiah. Dengan tingginya biaya UKT tapi fasilitas kampus sudah banyak yang tak layak. https://t.co/5EDwdKnQIo","1801148517345546518","https://pbs.twimg.com/media/GP7ynRua8AAOZwP.jpg","","in","Padang","14","22","35","https://x.com/CocotRakyat_/status/1801148517345546518","1105829065","CocotRakyat_"
"1799289164749578241","Sat Jun 08 03:55:40 +0000 2024","18","Emang sih UKT gak jadi naik tapi kalo korupsi masih ada di dunia pendidikan ya gimana negara kita mau maju? https://t.co/pXORcUTPf2","1799289164749578241","https://pbs.twimg.com/ext_tw_video_thumb/1799289124576452609/pu/img/cGldzXY_zHltbFw1.jpg","","in","Indonesia","2","1","10","https://x.com/negativisme/status/1799289164749578241","43486890","negativisme"
"1788755599418867942","Fri May 10 02:19:03 +0000 2024","6898","mahasiswa bakal sulit remake aksi di tahun 98 karena sebagian dari mereka itu anak-anak dongo yg masuk kuliah hasil nyogok ukt mahal jelas no issue buat mereka kuliah bukan keistimewaan lagi sejak institusi pendidikan ini banyak yg melacur demi memperkaya pejabat2 kampus.","1788755599418867942","","","in","Jawa","112","49","1832","https://x.com/anonjawa/status/1788755599418867942","1689095684895772672","anonjawa"
"1755937368752971903","Fri Feb 09 12:51:07 +0000 2024","3","ini bagus bukunyaa mau lanjut baca apa ngerjain tesis ya? tp aku males baca jurnal tp kalo males aku juga males bayar ukt terus aku capek kerja sambil ngerjain tp capek juga kerja buat bayar ukt terus https://t.co/w8aRAx5Ytg","1755937368752971903","https://pbs.twimg.com/media/GF5XtHEbsAAP4am.jpg","","in","Indonesia","0","5","0","https://x.com/noonalisa/status/1755937368752971903","461181456","noonalisa"
"1791150414588706868","Thu May 16 16:55:11 +0000 2024","265","Kenapa Dirjen kok penekanannya malah soal kuliah wajib gak wajib? Itu loh PTN-BH keuangan kampus diubah biar pemerintah bisa standarisasi biaya UKT. Faktor utama masalah ini kan uang UKT ditentuin sendiri sama pihak kampus. Bola panas UKT jangan malah diserahin ke masyarakat. https://t.co/EU5dIt8c32","1791150414588706868","https://pbs.twimg.com/media/GNtxzTbaAAQuEMr.jpg","","in","DKI Jakarta, Indonesia","12","43","107","https://x.com/mazzini_gsp/status/1791150414588706868","1226038913707282433","mazzini_gsp"
"1791025242825195782","Thu May 16 08:37:48 +0000 2024","8961","Anaknya kuliah pake pinjaman UKT Ibunya hidup sehari2 pake pinjaman online Bapaknya tiap malem keasikan judi slot Ah Indonesia Emas banget pokoknya ️","1791025242825195782","","","in","Indonesia","123","83","2713","https://x.com/ezash/status/1791025242825195782","105080250","ezash"
"1799599772489376088","Sun Jun 09 00:29:55 +0000 2024","10942"," UKT dibikin mahal Gaji bapak ibunya dipangkas Tapera Hobi kerjasama dengan &amp; naikin tukang cuci artis bego &amp; orkay bego Gagal bikin policy yg mendorong industrialisasi Keliatan banget nge-push gen Z &amp; gen-α biar ga kuliah","1799599772489376088","","","in","Catooine","106","16","4177","https://x.com/ObiWan_Catnobi/status/1799599772489376088","371261655","ObiWan_Catnobi"
"1800409176390484116","Tue Jun 11 06:06:12 +0000 2024","629","ukt mahal kos mahal nilai uas murahan","1800409176390484116","","","in","dipomuda'23 — agroeco.","45","22","96","https://x.com/akaspamu/status/1800409176390484116","1660953609499217920","akaspamu"
"1749709346223845766","Tue Jan 23 08:23:10 +0000 2024","3","habis melakukan adegan dewasa (bayar ukt sendiri) https://t.co/az9gXfel5a","1749709346223845766","https://pbs.twimg.com/media/GEg3X4sasAA5L-s.jpg","","in","she, 20.","0","1","0","https://x.com/dilecate/status/1749709346223845766","1293336202938945536","dilecate"
"1799610365027995769","Sun Jun 09 01:12:00 +0000 2024","356","Pad! Guys mohon bantuannya yaa untuk JANGAN BAYAR PARKIR DI GEDUNG KUNING karena itu kan fasilitas kampus dan kita berhak untuk menikmatinya apalagi kita dah bayar UKT. Plis ga USAH BAYAR DAN JANGAN TAKUT KLO DIBIARIN TU PASTI NGELUNJAK","1799610365027995769","","","in","Jatinangor","15","18","15","https://x.com/DraftAnakUnpad/status/1799610365027995769","1209457724599095296","DraftAnakUnpad"
"1793542628052795561","Thu May 23 07:20:59 +0000 2024","8387","MojokCo @mojokdotco: Saat UKT PTN Semakin Mahal Kampus Muhammadiyah di Maumere Justru Bolehkan Mahasiswa Miskin Bayar Kuliah Pakai Pisang Kelapa sampai Ikan Laut https://t.co/cp4GAQmsnT https://t.co/xx9MQPdJdQ","1793542628052795561","https://pbs.twimg.com/media/GOPxgSgWoAAh-Xn.jpg","","in","Jakarta Selatan, DKI Jakarta","159","117","2237","https://x.com/ismailfahmi/status/1793542628052795561","34075325","ismailfahmi"
